event_week,retention_rate,ios_retention_rate,android_retention_rate,web_retention_rate
20201206,0.419,0.454,0.382,0.0
20201213,0.834,0.855,0.811,0.0
20201220,0.405,0.466,0.341,0.0
20201227,0.376,0.431,0.317,0.0
20210103,0.399,0.477,0.317,0.0
20210110,0.36,0.412,0.305,0.0
20210117,0.344,0.408,0.277,0.0
20210124,0.321,0.37,0.269,0.0
20210131,0.295,0.355,0.233,0.0
20210207,0.317,0.385,0.245,0.0
20210214,0.272,0.336,0.205,0.0
20210221,0.305,0.374,0.233,0.0
20210228,0.305,0.366,0.241,0.0
20210307,0.274,0.317,0.229,0.0
20210314,0.305,0.363,0.245,0.0
20210321,0.278,0.332,0.221,0.0
20210328,0.266,0.302,0.229,0.0
20210404,0.268,0.309,0.225,0.0
20210411,0.258,0.29,0.225,0.0
20210418,0.258,0.305,0.209,0.0
20210425,0.256,0.317,0.193,0.0
20210502,0.25,0.286,0.213,0.0
20210509,0.249,0.286,0.209,0.0
20210516,0.237,0.279,0.193,0.0
20210523,0.225,0.252,0.197,0.0
20210530,0.207,0.24,0.173,0.0
20210606,0.186,0.229,0.141,0.0
